ID,Type,Gtype,Season,Pond,Ptype,Stype,PStype,svl,SeasonS,StypeS
WF01L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,27,summer,Larvae
WF02L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,20,summer,Larvae
WF02P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,46,winter,w_Paedomorph
WF02T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,52,winter,Metamorph
WF03L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,22,summer,Larvae
WF04L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,22,summer,Larvae
WF05L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,18,summer,Larvae
WF05T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,56,winter,Metamorph
WF06T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,49,winter,Metamorph
WF07P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,49,winter,w_Paedomorph
WF08P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,57,winter,w_Paedomorph
WF09L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,20,summer,Larvae
WF09P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,51,winter,w_Paedomorph
WF104P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,52,summer,s_Paedomorph
WF105P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,53,summer,s_Paedomorph
WF106P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,45,summer,s_Paedomorph
WF10L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,20,summer,Larvae
WF10P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,58,winter,w_Paedomorph
WF116P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,49,summer,s_Paedomorph
WF117P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,50,summer,s_Paedomorph
WF118P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,45,summer,s_Paedomorph
WF119P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,55,summer,s_Paedomorph
WF11L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,22,summer,Larvae
WF11T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,52,winter,Metamorph
WF12L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,17,summer,Larvae
WF12T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,53,winter,Metamorph
WF13L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,19,summer,Larvae
WF13T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,56,winter,Metamorph
WF14L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,17,summer,Larvae
WF14T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,55,winter,Metamorph
WF15L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,22,summer,Larvae
WF15T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,52,winter,Metamorph
WF16L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,21,summer,Larvae
WF16T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,55,winter,Metamorph
WF17L,Spring_Larvae,Larvae,spring,4,Larvae4,Larvaespring,Larvaespring4,18,summer,Larvae
WF17T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,56,winter,Metamorph
WF18T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,50,winter,Metamorph
WF19T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,51,winter,Metamorph
WF21P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,48,winter,w_Paedomorph
WF23P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,52,winter,w_Paedomorph
WF25P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,55,winter,w_Paedomorph
WF27L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,36,summer,Larvae
WF27P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,48,winter,w_Paedomorph
WF28L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,30,summer,Larvae
WF29L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,33,summer,Larvae
WF32T,Terrestrial,Metamorph,winter,4,Metamorph4,Metamorphwinter,Metamorphwinter4,54,winter,Metamorph
WF45L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,33,summer,Larvae
WF46L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,32,summer,Larvae
WF47L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,30,summer,Larvae
WF48L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,26,summer,Larvae
WF49L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,29,summer,Larvae
WF49P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,49,winter,w_Paedomorph
WF50L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,31,summer,Larvae
WF50P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,50,winter,w_Paedomorph
WF51P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,53,winter,w_Paedomorph
WF55P,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,47,winter,w_Paedomorph
WF56P.1,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,51,winter,w_Paedomorph
WF56P.2,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,46,summer,s_Paedomorph
WF57L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,31,summer,Larvae
WF58P.1,Winter_Paeds,Paedomorph,winter,4,Paedomorph4,Paedomorphwinter,Paedomorphwinter4,49,winter,w_Paedomorph
WF58P.2,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,51,summer,s_Paedomorph
WF59L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,32,summer,Larvae
WF61P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,45,summer,s_Paedomorph
WF70P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,52,summer,s_Paedomorph
WF71P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,54,summer,s_Paedomorph
WF72P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,51,summer,s_Paedomorph
WF73L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,32,summer,Larvae
WF73P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,48,summer,s_Paedomorph
WF74P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,51,summer,s_Paedomorph
WF75P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,47,summer,s_Paedomorph
WF77L,Larvae_Summer,Larvae,summer,4,Larvae4,Larvaesummer,Larvaesummer4,35,summer,Larvae
WF77P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,45,summer,s_Paedomorph
WF78P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,51,summer,s_Paedomorph
WF79P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,49,summer,s_Paedomorph
WF81P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,46,summer,s_Paedomorph
WF82P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,47,summer,s_Paedomorph
WF84P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,49,summer,s_Paedomorph
WF85P,Spring_Paed,Paedomorph,spring,4,Paedomorph4,Paedomorphspring,Paedomorphspring4,51,summer,s_Paedomorph
WF88P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,47,summer,s_Paedomorph
WF89P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,45,summer,s_Paedomorph
WF90P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,46,summer,s_Paedomorph
WF92P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,50,summer,s_Paedomorph
WF96P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,45,summer,s_Paedomorph
WF97P,Paeds_Summer,Paedomorph,summer,4,Paedomorph4,Paedomorphsummer,Paedomorphsummer4,45,summer,s_Paedomorph
